Timestamp (UTC),Height (m)
2023-12-31T00:30:00Z,-0.073
2023-12-31T00:45:00Z,0.221
2023-12-31T01:00:00Z,0.534
2023-12-31T01:15:00Z,0.836
2023-12-31T01:30:00Z,1.149
2023-12-31T01:45:00Z,1.437
2023-12-31T02:00:00Z,1.707
2023-12-31T02:15:00Z,1.99
2023-12-31T02:30:00Z,2.173
2023-12-31T02:45:00Z,2.451
2023-12-31T03:00:00Z,2.693
2023-12-31T03:15:00Z,2.945
2023-12-31T03:30:00Z,3.153
2023-12-31T03:45:00Z,3.314
2023-12-31T04:00:00Z,3.406
2023-12-31T04:15:00Z,3.386
2023-12-31T04:30:00Z,3.187
2023-12-31T04:45:00Z,3.03
2023-12-31T05:00:00Z,2.792
2023-12-31T05:15:00Z,2.521
2023-12-31T05:30:00Z,2.199
2023-12-31T05:45:00Z,1.928
2023-12-31T06:00:00Z,1.616
2023-12-31T06:15:00Z,1.343
2023-12-31T06:30:00Z,1.082
2023-12-31T06:45:00Z,0.838
2023-12-31T07:00:00Z,0.583
2023-12-31T07:15:00Z,0.356
2023-12-31T07:30:00Z,0.105
2023-12-31T07:45:00Z,-0.097
2023-12-31T08:00:00Z,-0.332
2023-12-31T08:15:00Z,-0.554
2023-12-31T08:30:00Z,-0.746
2023-12-31T08:45:00Z,-0.937
2023-12-31T09:00:00Z,-1.12
2023-12-31T09:15:00Z,-1.288
2023-12-31T09:30:00Z,-1.425
2023-12-31T09:45:00Z,-1.571
2023-12-31T10:00:00Z,-1.707
2023-12-31T10:15:00Z,-1.813
2023-12-31T10:30:00Z,-1.891
2023-12-31T10:45:00Z,-1.968
2023-12-31T11:00:00Z,-2.021
2023-12-31T11:15:00Z,-2.077
2023-12-31T11:30:00Z,-2.099
2023-12-31T11:45:00Z,-2.105
2023-12-31T12:00:00Z,-2.037
2023-12-31T12:15:00Z,-1.883
2023-12-31T12:30:00Z,-1.688
2023-12-31T12:45:00Z,-1.42
2023-12-31T13:00:00Z,-1.148
2023-12-31T13:15:00Z,-0.858
2023-12-31T13:30:00Z,-0.516
2023-12-31T13:45:00Z,-0.097
2023-12-31T14:00:00Z,0.267
2023-12-31T14:15:00Z,0.624
2023-12-31T14:30:00Z,1.001
2023-12-31T14:45:00Z,1.401
2023-12-31T15:00:00Z,1.811
2023-12-31T15:15:00Z,2.196
2023-12-31T15:30:00Z,2.603
2023-12-31T15:45:00Z,2.906
2023-12-31T16:00:00Z,3.144
2023-12-31T16:15:00Z,3.264
2023-12-31T16:30:00Z,3.332
2023-12-31T16:45:00Z,3.327
2023-12-31T17:00:00Z,3.194
2023-12-31T17:15:00Z,2.993
2023-12-31T17:30:00Z,2.74
2023-12-31T17:45:00Z,2.462
2023-12-31T18:00:00Z,2.151
2023-12-31T18:15:00Z,1.842
2023-12-31T18:30:00Z,1.543
2023-12-31T18:45:00Z,1.267
2023-12-31T19:00:00Z,1.01
2023-12-31T19:15:00Z,0.754
2023-12-31T19:30:00Z,0.508
2023-12-31T19:45:00Z,0.275
2023-12-31T20:00:00Z,0.03
2023-12-31T20:15:00Z,-0.165
2023-12-31T20:30:00Z,-0.403
2023-12-31T20:45:00Z,-0.599
2023-12-31T21:00:00Z,-0.768
2023-12-31T21:15:00Z,-0.925
2023-12-31T21:30:00Z,-1.086
2023-12-31T21:45:00Z,-1.27
2023-12-31T22:00:00Z,-1.406
2023-12-31T22:15:00Z,-1.414
2023-12-31T22:30:00Z,-1.609
2023-12-31T22:45:00Z,-1.641
2023-12-31T23:00:00Z,-1.718
2023-12-31T23:15:00Z,-1.682
2023-12-31T23:30:00Z,-1.615
2023-12-31T23:45:00Z,-1.44
2024-01-01T00:00:00Z,-1.107
2024-01-01T00:15:00Z,-0.783
2024-01-01T00:30:00Z,-0.681
2024-01-01T00:45:00Z,-0.166
2024-01-01T01:00:00Z,0.207
2024-01-01T01:15:00Z,0.547
2024-01-01T01:30:00Z,0.891
2024-01-01T01:45:00Z,1.207
2024-01-01T02:00:00Z,1.538
2024-01-01T02:15:00Z,1.857
2024-01-01T02:30:00Z,2.127
2024-01-01T02:45:00Z,2.435
2024-01-01T03:00:00Z,2.712
2024-01-01T03:15:00Z,2.966
2024-01-01T03:30:00Z,3.178
2024-01-01T03:45:00Z,3.405
2024-01-01T04:00:00Z,3.538
2024-01-01T04:15:00Z,3.637
2024-01-01T04:30:00Z,3.616
2024-01-01T04:45:00Z,3.493
2024-01-01T05:00:00Z,3.326
2024-01-01T05:15:00Z,3.12
2024-01-01T05:30:00Z,2.859
2024-01-01T05:45:00Z,2.566
2024-01-01T06:00:00Z,2.253
2024-01-01T06:15:00Z,1.98
2024-01-01T06:30:00Z,1.687
2024-01-01T06:45:00Z,1.426
2024-01-01T07:00:00Z,1.177
2024-01-01T07:15:00Z,0.94
2024-01-01T07:30:00Z,0.697
2024-01-01T07:45:00Z,0.474
2024-01-01T08:00:00Z,0.246
2024-01-01T08:15:00Z,0.049
2024-01-01T08:30:00Z,-0.166
2024-01-01T08:45:00Z,-0.366
2024-01-01T09:00:00Z,-0.553
2024-01-01T09:15:00Z,-0.707
2024-01-01T09:30:00Z,-0.878
2024-01-01T09:45:00Z,-1.029
2024-01-01T10:00:00Z,-1.158
2024-01-01T10:15:00Z,-1.279
2024-01-01T10:30:00Z,-1.366
2024-01-01T10:45:00Z,-1.455
2024-01-01T11:00:00Z,-1.509
2024-01-01T11:15:00Z,-1.559
2024-01-01T11:30:00Z,-1.577
2024-01-01T11:45:00Z,-1.59
2024-01-01T12:00:00Z,-1.577
2024-01-01T12:15:00Z,-1.531
2024-01-01T12:30:00Z,-1.451
2024-01-01T12:45:00Z,-1.271
2024-01-01T13:00:00Z,-1.012
2024-01-01T13:15:00Z,-0.744
2024-01-01T13:30:00Z,-0.419
2024-01-01T13:45:00Z,-0.056
2024-01-01T14:00:00Z,0.283
2024-01-01T14:15:00Z,0.641
2024-01-01T14:30:00Z,1.009
2024-01-01T14:45:00Z,1.38
2024-01-01T15:00:00Z,1.743
2024-01-01T15:15:00Z,2.118
2024-01-01T15:30:00Z,2.482
2024-01-01T15:45:00Z,2.822
2024-01-01T16:00:00Z,3.103
2024-01-01T16:15:00Z,3.386
2024-01-01T16:30:00Z,3.571
2024-01-01T16:45:00Z,3.744
2024-01-01T17:00:00Z,3.788
2024-01-01T17:15:00Z,3.755
2024-01-01T17:30:00Z,3.626
2024-01-01T17:45:00Z,3.414
2024-01-01T18:00:00Z,3.144
2024-01-01T18:15:00Z,2.863
2024-01-01T18:30:00Z,2.554
2024-01-01T18:45:00Z,2.227
2024-01-01T19:00:00Z,1.951
2024-01-01T19:15:00Z,1.647
2024-01-01T19:30:00Z,1.387
2024-01-01T19:45:00Z,1.122
2024-01-01T20:00:00Z,0.879
2024-01-01T20:15:00Z,0.631
2024-01-01T20:30:00Z,0.404
2024-01-01T20:45:00Z,0.179
2024-01-01T21:00:00Z,-0.019
2024-01-01T21:15:00Z,-0.223
2024-01-01T21:30:00Z,-0.422
2024-01-01T21:45:00Z,-0.599
2024-01-01T22:00:00Z,-0.757
